DATA;TÍTULO;VEICULO;CATEGORIA DO VEÍCULO;BLOCO TEMÁTICO;TEMA PRINCIPAL;TEMA 2;INFORMAÇÃO DUPLICADA;Categorias da Reparação Socioambiental;Assuntos relacionados à Categorias;URL;OBS
03/09/2024;Reparação Brumadinho: projeto de bem-estar para cães e gatos da região atingida recebe autorização para início;AGÊNCIA MINAS;Portal de Notícias;Meio Biótico;Biota Terrestre;;NÃO;7 - Fauna;7.1 - Resgate de animais domésticos;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-projeto-de-bem-estar-para-caes-e-gatos-da-regiao-atingida-recebe-autorizacao-para-inicio;
04/09/2024;Reparação Brumadinho: projeto de bem-estar para cães e gatos da região atingida recebe autorização para início;SEMAD;Portal de Notícias;Meio Biótico;Biota Terrestre;;SIM;7 - Fauna;7.1 - Resgate de animais domésticos;http://www.meioambiente.mg.gov.br/noticias/6370-reparacao-brumadinho-projeto-de-bem-estar-para-caes-e-gatos-da-regiao-atingida-recebe-autorizacao-para-inicio;
03/10/2024;Brumadinho: programas de proteção à fauna e à flora da região atingida são validados pelos compromitentes;SEMAD;Portal de Notícias;Meio Biótico;Biota Terrestre;;NÃO;7 - Fauna;7.1 - Resgate de animais domésticos;http://www.meioambiente.mg.gov.br/noticias/6423-brumadinho-programas-de-protecao-a-fauna-e-a-flora-da-regiao-atingida-sao-validados-pelos-compromitentes;disponível em https://liferay.meioambiente.mg.gov.br/w/brumadinho-programas-de-protecao-a-fauna-e-a-flora-da-regiao-atingida-sao-validados-pelos-compromitentes
15/10/2024;Aedas no Ar 133 - Meio Ambiente e saúde;AEDAS;Redes Sociais;Boletins informativos;Compilado de Notícias da ATI;;NÃO;0 - Não aplicado;;https://www.youtube.com/watch?v=LeSlJzGYc0A;
16/10/2024;Juiz publica decisão sobre questões pendentes relacionadas ao Processo do desastre-crime da Vale;INSTITUTO GUAICUY;Portal de Notícias;Outros;ERSHRE;5.6 - Atendimento Emergencial;NÃO;0 - Não aplicado;;https://guaicuy.org.br/juiz-decisao-processo-do-desastre-crime/;
21/10/2024;Boletim Semanal da Aedas: Mortandade de peixes no Paraopeba, Festejo em Brumadinho e intimação da Vale por juiz;AEDAS;Portal de Notícias;Meio Socioeconômico;Compilado de Notícias da ATI;;SIM;0 - Não aplicado;;https://aedasmg.org/boletim-aedas-1810/;
21/10/2024;Peixes encontrados mortos às margens do rio Paraopeba preocupam comunidades atingidas por rompimento da Vale;AEDAS;Portal de Notícias;Meio Biótico;Biota Aquática;;NÃO;2 - Avistamento de carcaças;;https://aedasmg.org/peixes-mortos-paraopeba-12102024/;
22/10/2024;Acompanhamento do Programa de Recuperação Socioambiental e dos Estudos de Risco à Saúde Humana;INSTITUTO GUAICUY;Portal de Notícias;Boletins informativos;Compilado de Notícias da ATI;;NÃO;0 - Transversal;;https://guaicuy.org.br/acompanhamento-do-programa-de-recuperacao-socioambiental-e-do-estudo-de-risco-a-saude-humana/;
24/10/2024;1ª Reunião da Instância Regional 4 define diretrizes para início da atuação do grupo;INSTITUTO GUAICUY;Portal de Notícias;Meio Socioeconômico;Social;;NÃO;0 - Não aplicado;;https://guaicuy.org.br/1-reuniao-instancia-regional-4/;
24/10/2024;CTC/UFMG se manifesta sobre pedidos relativos à resolução coletiva das indenizações;INSTITUTO GUAICUY;Portal de Notícias;Meio Socioeconômico;Economia;;NÃO;0 - Não aplicado;;https://guaicuy.org.br/ctc-ufmg-se-manifesta-sobre-pedidos-relativos-a-resolucao-coletiva-das-indenizacoes/;
30/10/2024;Aedas divulga informes sobre auditoria dos estudos socioambientais feitos pela AECOM no mês de setembro;AEDAS;Portal de Notícias;Boletins informativos;Compilado de Notícias da ATI;;NÃO;0 - Não aplicado;;https://aedasmg.org/informes-aecom-0924/;
31/10/2024;Reparação Brumadinho: Governo de Minas e Instituições de Justiça lançam edital para ações de saneamento na região da bacia do Paraopeba;PRÓ-BRUMADINHO;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.mg.gov.br/pro-brumadinho/noticias/reparacao-brumadinho-governo-de-minas-e-instituicoes-de-justica-lancam-edital;
01/11/2024;O direito das crianças a um meio ambiente ecologicamente equilibrado nos territórios atingidos;AEDAS;Portal de Notícias;Meio Socioeconômico;Social;;NÃO;0 - Não aplicado;;https://aedasmg.org/o-direito-das-criancas-a-um-meio-ambiente-ecologicamente-equilibrado/;
01/11/2024;Boletim Semanal da Aedas: Informe da auditoria dos estudos socioambientais, denúncia de má qualidade de obras do Anexo I.3 e mais;AEDAS;Portal de Notícias;Boletins informativos;Compilado de Notícias da ATI;;SIM;0 - Não aplicado;;https://aedasmg.org/boletim-aedas-0111/;
05/11/2024;Grupo EPA apresenta resultados de primeira fase de análises sobre saúde para pessoas atingidas;INSTITUTO GUAICUY;Portal de Notícias;Outros;ERSHRE;;NÃO;0 - Transversal;;https://guaicuy.org.br/grupo-epa-apresenta-primeira-fase-de-analises/;
05/11/2024;"Você sabe o que é 'agravamento de danos""?";INSTITUTO GUAICUY;Portal de Notícias;Outros;ERSHRE;;NÃO;0 - Não aplicado;;https://guaicuy.org.br/voce-sabe-o-que-e-agravamento-de-danos/;
07/11/2024;BDMG lança edital para o Programa de Universalização do Saneamento Básico na Bacia do Paraopeba;INSTITUTO GUAICUY;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;;https://guaicuy.org.br/bdmg-edital-universalizacao-do-saneamento-basico/;
08/11/2024;Semad realiza reuniões públicas para apresentar projeto de Recuperação Socioambiental às comunidades atingidas;AEDAS;Portal de Notícias;Outros;PRAD;;NÃO;4 - Comunicação Social;4.5 - Reuniões do PRSA;https://aedasmg.org/semad-reunioes-projeto-socioambiental/;
08/11/2024;Boletim Semanal da Aedas: Informe da FGV sobre redução do valor do PTR e reuniões da Semad em Brumadinho;AEDAS;Portal de Notícias;Outros;PRAD;;SIM;4 - Comunicação Social;4.5 - Reuniões do PRSA;https://aedasmg.org/boletim-aedas-0811/;
08/11/2024;Recuperação Socioambiental da Bacia do Ribeirão Ferro-Carvão;SEMAD;Portal de Notícias;Outros;PRAD;;SIM;4 - Comunicação Social;4.5 - Reuniões do PRSA;https://meioambiente.mg.gov.br/recupera%C3%A7%C3%A3o-socioambiental-da-bacia-do-ribeir%C3%A3o-ferro-carv%C3%A3o;
12/11/2024;Processo seletivo escolherá empresa para avaliação de risco e elaboração de lista de espécies ameaçadas de extinção ;IEF;Portal de Notícias;Outros;ERSHRE;;NÃO;0 - Não aplicado;0.0 - Não aplicado;https://ief.mg.gov.br/w/processo-seletivo-escolhera-empresa-para-avaliacao-de-risco-e-elaboracao-de-lista-de-especies-ameacadas-de-extincao?p_l_back_url=%2Fbusca%3Fq%3DRecupera%25C3%25A7%25C3%25A3o%2BSocioambiental%2Bda%2BBacia%2Bdo%2BRibeir%25C3%25A3o%2BFerro-Carv%25C3%25A3o%26sort%3DcreateDate-;
12/11/2024;Guaicuy apresenta pesquisa com danos a pescadores;INSTITUTO GUAICUY;Portal de Notícias;Meio Socioeconômico;Transversal;;NÃO;0 - Não aplicado;;https://guaicuy.org.br/pesquisa-com-danos-a-pescadores/;
12/11/2024;Recuperação Socioambiental da Bacia do Ribeirão Ferro-Carvão;SEMAD;Portal de Notícias;Outros;PRAD;;SIM;4 - Comunicação Social;4.5 - Reuniões do PRSA;https://meioambiente.mg.gov.br/web/semad/recupera%C3%A7%C3%A3o-socioambiental-da-bacia-do-ribeir%C3%A3o-ferro-carv%C3%A3o;
